67, of004405, 211
67, of004406, 231
67, of004407, 223
67, of004408, 249
67, of004409, 189
67, of004410, 357
67, of004411, 229
67, of004412, 232
67, of004413, 193
67, of004414, 245
67, of004415, 357
67, of004416, 273
67, of004417, 245
67, of004418, 232
67, of004419, 223
67, of004420, 213
67, of004421, 203
67, of004422, 212
67, of004423, 253
67, of004424, 286
67, of004425, 212
67, of004426, 288
67, of004427, 253
67, of004428, 172
67, of004429, 287
67, of004430, 287
67, of004431, 287
67, of004432, 286
67, of004433, 357
67, of004434, 249
67, of004435, 286
67, of004436, 286
67, of004437, 204
67, of004438, 184
67, of004439, 192
67, of004440, 223
67, of004441, 184
67, of004442, 189
67, of004443, 288
67, of004444, 232
67, of004445, 247
67, of004446, 184
67, of004447, 211
67, of004448, 223
67, of004449, 245
67, of004450, 286
67, of004451, 269
67, of004452, 253
67, of004453, 269
67, of004454, 253
67, of004455, 289
67, of004456, 193
67, of004457, 286
67, of004458, 223
67, of004459, 228
67, of004460, 287
67, of004461, 172
67, of004462, 357
67, of004463, 204
67, of004464, 245
67, of004465, 185
67, of004466, 223
67, of004467, 231
67, of004468, 191
67, of004469, 193
67, of004470, 273
67, of004471, 212
67, of004472, 357
67, of004473, 192
67, of004474, 231
67, of004475, 204
67, of004476, 231
67, of004477, 249
67, of004478, 273
67, of004479, 223
67, of004480, 357
67, of004481, 224
67, of004482, 172
67, of004483, 184
67, of004484, 232
67, of004485, 245
67, of004486, 287
67, of004487, 191
67, of004488, 286
67, of004489, 247
67, of004490, 249
67, of004491, 204
67, of004492, 212
67, of004493, 206
67, of004494, 223
67, of004495, 191
67, of004496, 357
67, of004497, 172
67, of004498, 273
67, of004499, 286
67, of004500, 255
67, of004501, 249
67, of004502, 395
67, of004503, 223
67, of004504, 255
67, of004505, 223
67, of004506, 210
67, of004507, 210
67, of004508, 226
67, of004509, 226
67, of004510, 174
67, of004511, 193
67, of004512, 226
67, of004513, 286
67, of004514, 289
67, of004515, 224
67, of004516, 287
67, of004517, 185
67, of004518, 184
67, of004519, 287
67, of004520, 253
67, of004521, 253
67, of004522, 191
67, of004523, 204
67, of004524, 174
67, of004525, 245
67, of004526, 206
67, of004527, 206
67, of004528, 189
67, of004529, 184
67, of004530, 253
67, of004858, 223
67, of004859, 357
67, of004860, 223
67, of004861, 210
67, of004862, 184
67, of004863, 184
67, of004864, 286
67, of004865, 249
67, of004866, 245
67, of004867, 254
67, of004868, 273
67, of004869, 203
67, of004870, 395
67, of004871, 273
67, of004872, 226
67, of004873, 269
67, of004874, 245
67, of004875, 191
67, of004876, 245
67, of004877, 184
67, of004878, 226
67, of004879, 357
67, of004880, 206
67, of004881, 249
67, of004882, 172
67, of004883, 192
67, of004884, 255
67, of004885, 245
67, of004886, 184
67, of004887, 184
67, of004888, 286
67, of004889, 174
67, of004890, 206
67, of004891, 184
67, of004892, 226
67, of004893, 226
67, of004894, 245
67, of004895, 245
67, of004896, 286
67, of004897, 245
67, of004898, 286
67, of004899, 254
67, of004900, 210
67, of004901, 190
67, of004902, 245
67, of004903, 192
67, of004904, 226
67, of004905, 226
67, of004906, 223
67, of004907, 245
67, of004908, 206
67, of004909, 287
67, of004910, 274
67, of004911, 174
67, of004912, 226
67, of004913, 226
67, of004914, 184
67, of004915, 228
67, of004916, 286
67, of004917, 287
67, of004918, 245
67, of004919, 254
67, of004920, 226
67, of004921, 174
67, of004922, 273
67, of004923, 210
67, of004924, 357
67, of004925, 193
67, of004926, 245
67, of004927, 245
67, of004928, 286
67, of004929, 226
67, of004930, 273
67, of004931, 174
67, of004932, 223
67, of004933, 268
67, of004934, 192
67, of004935, 172
67, of004936, 286
67, of004937, 286
67, of004938, 395
67, of004939, 273
67, of004940, 226
67, of004941, 184
67, of004942, 223
67, of004943, 226
67, of004944, 226
67, of004945, 288
67, of004946, 184
67, of004947, 376
67, of004948, 249
67, of004949, 184
67, of004950, 245
67, of004951, 210
67, of004952, 206
67, of004953, 226
67, of004954, 185
67, of004955, 192
67, of004956, 232
67, of004957, 174
67, of004958, 232
67, of004959, 254
67, of004960, 287
67, of004961, 193
67, of004962, 286
67, of004963, 191
67, of004964, 223
67, of004965, 245
67, of004966, 226
67, of004967, 226
67, of004968, 223
67, of004969, 193
67, of004970, 255
67, of004971, 224
67, of004972, 192
67, of004973, 184
67, of004974, 268
67, of004975, 249
67, of004976, 376
67, of004977, 211
67, of005058, 247
67, of005059, 193
67, of005060, 273
67, of005061, 229
67, of005062, 223
67, of005063, 193
67, of005064, 286
67, of005065, 254
67, of005066, 254
67, of005067, 203
67, of005068, 174
67, of005069, 186
67, of005070, 214
67, of005071, 254
67, of005072, 226
67, of005073, 210
67, of005074, 232
67, of005075, 211
67, of005076, 204
67, of005077, 226
67, of005078, 210
67, of005079, 223
67, of005080, 254
67, of005081, 255
67, of005082, 255
67, of005083, 213
67, of005084, 249
67, of005085, 184
67, of005086, 184
67, of005087, 273
67, of005088, 254
67, of005089, 193
67, of005090, 172
67, of005091, 210
67, of005092, 226
67, of005093, 253
67, of005094, 224
67, of005095, 184
67, of005096, 255
67, of005097, 253
67, of005098, 184
67, of005099, 206
67, of005100, 232
67, of005101, 184
67, of005102, 254
67, of005103, 223
67, of005104, 174
67, of005105, 245
67, of005106, 193
67, of005107, 255
67, of005108, 223
67, of005109, 223
67, of005110, 254
67, of005111, 286
67, of005112, 184
67, of005113, 286
67, of005114, 193
67, of005115, 289
67, of005116, 210
67, of005117, 248
67, of005118, 288
67, of005119, 184
67, of005120, 204
67, of005121, 249
67, of005122, 286
67, of005123, 174
67, of005124, 255
67, of005125, 254
67, of005126, 204
67, of005127, 226
67, of005128, 184
67, of005129, 226
67, of005130, 206
67, of005131, 226
67, of005132, 226
67, of005133, 206
67, of005134, 254
67, of005135, 209
67, of005136, 206
67, of005137, 226
67, of005138, 245
67, of005139, 224
67, of005140, 206
67, of005141, 174
67, of005142, 206
67, of005143, 193
67, of005144, 223
67, of005145, 191
67, of005146, 223
67, of005147, 210
67, of005148, 206
67, of005149, 223
67, of005150, 206
67, of005151, 174
67, of005152, 224
67, of005153, 206
67, of005154, 206
67, of005155, 273
67, of005156, 245
67, of005157, 255
67, of005158, 194
67, of005159, 213
67, of005160, 214
67, of005161, 186
67, of005162, 188
67, of005163, 249
67, of005164, 184
67, of005165, 248
67, of005166, 210
67, of005167, 206
67, of005168, 214
67, of005169, 247
67, of005170, 206
67, of005171, 271
67, of005172, 184
67, of005173, 223
67, of005174, 191
67, of005175, 204
67, of005176, 184
67, of005177, 214
67, of005178, 186
67, of005179, 191
67, of005180, 273
67, of005181, 188
67, of005182, 184
67, of005183, 209
67, of005184, 226
67, of005185, 214
67, of005186, 184
67, of005187, 248
67, of005188, 286
67, of005189, 224
67, of005190, 204
67, of005191, 204
67, of005192, 229
67, of005193, 186
67, of005194, 210
67, of005195, 226
67, of005196, 208
67, of005197, 204
67, of005198, 226
67, of005199, 232
67, of005200, 209
67, of005201, 184
67, of005202, 210
67, of005203, 252
67, of005204, 172
